564.88_997.00_997.00_652.15_0.00_899.52_985.45_0.00 21.457 11.939 1.797 0/0
836.76_0.00_997.00_830.21_118.68_997.00_0.00_148.96 20.419 11.595 1.761 0/0
997.00_290.23_0.00_386.05_481.97_997.00_913.79_0.00 20.984 11.974 1.752 0/0
764.57_0.00_997.00_42.87_658.62_997.00_0.00_644.31 21.656 12.040 1.799 0/0
0.00_833.81_997.00_75.33_752.08_0.00_631.96_997.00 22.374 12.671 1.766 0/0
997.00_432.23_670.02_0.00_0.00_312.37_772.23_997.00 20.978 11.718 1.790 0/0
706.53_0.00_0.00_628.57_637.94_997.00_997.00_488.49 21.061 11.388 1.849 0/0
554.22_0.00_997.00_484.46_0.00_466.70_508.95_997.00 20.645 11.541 1.789 0/0
492.56_997.00_0.00_411.14_997.00_598.36_291.96_0.00 20.915 11.605 1.802 0/0
0.00_386.39_997.00_168.44_756.69_997.00_266.95_0.00 20.879 12.191 1.713 0/0
657.99_997.00_600.41_0.00_0.00_131.90_997.00_31.63 20.900 12.388 1.687 0/0
932.44_997.00_997.00_157.42_543.86_0.00_0.00_770.38 20.553 11.579 1.775 0/0
0.00_233.60_994.66_0.00_279.04_997.00_997.00_250.23 21.266 12.210 1.742 0/0
0.00_227.47_496.13_0.00_587.13_997.00_997.00_559.70 20.673 11.575 1.786 0/0
780.19_0.00_997.00_117.95_0.00_820.08_734.20_997.00 21.674 12.333 1.757 0/0
383.40_997.00_252.67_0.00_0.00_977.40_997.00_292.26 21.140 11.743 1.800 0/0
0.00_941.41_911.67_997.00_997.00_382.27_402.49_0.00 20.595 11.551 1.783 0/0
39.37_0.00_997.00_171.74_900.77_997.00_0.00_276.98 21.481 12.583 1.707 0/0
557.57_0.00_0.00_897.67_616.41_997.00_997.00_137.03 21.136 11.906 1.775 0/0
997.00_120.41_903.27_997.00_985.63_0.00_0.00_503.40 21.138 12.052 1.754 0/0
305.98_997.00_0.00_458.78_952.30_0.00_997.00_662.94 20.627 11.385 1.812 0/0
997.00_124.71_0.00_767.67_280.67_997.00_485.77_0.00 21.982 12.689 1.732 0/0
507.85_997.00_997.00_766.71_270.23_0.00_0.00_685.53 21.595 12.022 1.796 0/0
0.00_79.24_997.00_24.48_342.57_0.00_7.94_997.00 22.490 13.133 1.712 0/0
266.19_0.00_0.00_201.02_974.53_997.00_997.00_368.61 21.762 12.533 1.736 0/0
997.00_46.23_0.00_167.75_301.17_997.00_822.23_0.00 21.450 12.738 1.684 0/0
44.08_997.00_0.00_599.39_997.00_111.35_923.25_0.00 24.627 14.670 1.679 0/0
624.10_0.00_803.98_997.00_997.00_858.04_0.00_988.22 21.197 11.934 1.776 0/0
997.00_854.82_472.17_997.00_0.00_61.82_246.79_0.00 22.945 13.452 1.706 0/0
133.32_0.00_545.88_997.00_0.00_827.87_997.00_381.96 20.825 11.712 1.778 0/0
359.26_997.00_118.19_0.00_0.00_550.07_997.00_174.24 20.824 12.002 1.735 0/0
0.00_755.34_133.47_997.00_896.74_0.00_997.00_516.84 22.122 12.482 1.772 0/0
517.86_997.00_0.00_62.15_997.00_275.91_117.82_0.00 20.913 12.103 1.728 0/0
787.72_997.00_553.31_0.00_0.00_111.37_997.00_792.43 21.884 12.499 1.751 0/0
0.00_677.64_997.00_617.16_395.19_997.00_697.52_0.00 21.039 11.812 1.781 0/0
0.00_713.42_490.09_997.00_124.64_0.00_997.00_331.76 20.688 11.672 1.772 0/0
997.00_615.66_0.00_26.40_894.86_0.00_108.36_997.00 21.205 11.850 1.789 0/0
0.00_685.03_355.74_0.00_997.00_473.64_65.44_997.00 20.950 11.746 1.784 0/0
0.00_701.54_671.54_997.00_42.10_0.00_997.00_948.36 22.467 12.390 1.813 0/0
970.95_997.00_997.00_694.68_46.12_0.00_0.00_152.61 26.055 16.064 1.622 0/0
997.00_286.28_333.67_0.00_877.88_997.00_0.00_804.19 20.573 11.413 1.803 0/0
997.00_924.56_177.69_997.00_0.00_21.73_154.67_0.00 23.023 13.332 1.727 0/0
0.00_291.18_287.58_997.00_997.00_89.40_348.25_0.00 21.689 12.449 1.742 0/0
0.00_911.21_121.82_997.00_687.46_0.00_997.00_335.63 22.823 13.178 1.732 0/0
997.00_763.17_0.00_467.54_80.44_997.00_290.88_0.00 21.348 11.941 1.788 0/0
0.00_245.54_44.65_0.00_925.60_997.00_997.00_535.57 22.887 13.295 1.722 0/0
997.00_88.22_317.32_997.00_203.50_0.00_0.00_932.12 22.105 12.962 1.705 0/0
319.43_0.00_298.96_997.00_997.00_990.88_0.00_984.96 21.938 12.559 1.747 0/0
15.22_997.00_997.00_8.56_0.00_516.66_764.63_0.00 24.139 14.214 1.698 0/0
241.30_997.00_0.00_81.22_48.27_0.00_997.00_895.61 23.203 13.403 1.731 0/0
166.33_997.00_975.39_0.00_997.00_685.09_0.00_812.65 21.707 12.618 1.720 0/0
700.83_997.00_618.71_0.00_997.00_543.31_0.00_769.12 20.991 11.589 1.811 0/0
61.70_997.00_467.16_0.00_0.00_559.10_997.00_556.47 20.862 11.727 1.779 0/0
564.60_997.00_485.22_0.00_997.00_216.21_0.00_279.30 20.976 11.941 1.757 0/0
681.87_0.00_0.00_337.40_896.13_997.00_997.00_465.15 20.909 11.724 1.783 0/0
997.00_477.99_0.00_772.59_56.99_0.00_671.10_997.00 20.929 11.775 1.777 0/0
788.58_0.00_340.79_997.00_0.00_828.36_997.00_690.72 21.321 11.918 1.789 0/0
997.00_519.08_0.00_60.78_499.44_997.00_685.37_0.00 20.810 11.483 1.812 0/0
0.00_1.20_731.60_0.00_766.26_997.00_997.00_140.84 21.199 12.243 1.732 0/0
509.04_997.00_0.00_550.75_997.00_208.99_732.28_0.00 21.050 11.854 1.776 0/0
903.68_997.00_0.00_309.72_146.82_0.00_997.00_383.11 21.649 12.430 1.742 0/0
3.78_997.00_455.34_0.00_997.00_470.03_0.00_589.34 20.857 12.018 1.735 0/0
0.00_776.42_997.00_408.39_813.22_997.00_100.21_0.00 20.591 11.833 1.740 0/0
709.27_997.00_997.00_512.07_0.00_489.96_589.52_0.00 20.610 11.408 1.807 0/0
0.00_937.51_825.11_0.00_997.00_147.33_668.37_997.00 22.157 12.525 1.769 0/0
0.00_63.73_380.23_997.00_513.46_0.00_997.00_450.45 20.636 11.982 1.722 0/0
997.00_860.96_262.01_997.00_0.00_948.68_227.50_0.00 22.503 12.528 1.796 0/0
204.39_997.00_997.00_235.75_633.70_0.00_0.00_390.96 21.367 12.216 1.749 0/0
595.17_0.00_997.00_338.58_321.29_997.00_0.00_513.86 20.795 11.869 1.752 0/0
997.00_66.66_0.00_577.65_289.98_0.00_409.35_997.00 21.215 12.452 1.704 0/0
