463.46_997.00_997.00_851.93_0.00_333.58_155.12_0.00_789.92_997.00 19.056 9.550 1.995 0/0
997.00_129.45_290.45_997.00_0.00_453.33_890.16_0.00_0.00_206.41 17.653 7.590 2.326 0/0
0.00_320.44_317.66_0.00_997.00_956.71_71.31_997.00_616.47_997.00 16.088 7.414 2.170 0/0
204.42_0.00_620.51_997.00_0.00_351.69_997.00_663.07_997.00_991.20 17.218 8.364 2.058 0/0
997.00_900.17_958.24_997.00_900.80_0.00_0.00_326.32_151.11_997.00 20.712 11.116 1.863 0/0
453.97_997.00_0.00_264.17_540.29_0.00_997.00_942.74_997.00_396.94 18.193 8.002 2.274 0/0
89.82_0.00_0.00_150.87_889.84_997.00_997.00_262.14_603.12_997.00 18.341 9.350 1.962 0/0
21.79_0.00_0.00_193.57_997.00_911.50_468.19_997.00_129.22_997.00 17.894 8.904 2.010 0/0
617.68_0.00_997.00_507.40_0.00_97.23_124.77_997.00_176.00_0.00 19.020 9.952 1.911 0/0
924.75_0.00_309.96_997.00_0.00_456.22_997.00_532.40_0.00_969.86 18.253 7.744 2.357 0/0
399.91_997.00_997.00_975.37_0.00_860.70_732.35_0.00_997.00_774.82 19.148 10.488 1.826 0/0
407.54_0.00_0.00_927.32_997.00_806.73_938.02_997.00_440.72_0.00 19.023 7.317 2.600 0/0
421.55_997.00_997.00_685.29_632.21_0.00_0.00_619.88_0.00_157.26 18.982 8.072 2.352 0/0
997.00_949.71_534.42_997.00_0.00_646.38_44.12_0.00_408.65_0.00 19.112 10.343 1.848 0/0
0.00_99.16_445.65_997.00_205.75_0.00_997.00_23.94_0.00_7.38 17.838 8.516 2.095 0/0
0.72_0.00_0.00_697.16_292.38_997.00_997.00_724.08_0.00_94.81 18.147 8.732 2.078 0/0
0.00_840.69_287.86_0.00_291.98_997.00_997.00_881.01_0.00_395.47 17.359 7.922 2.191 0/0
775.99_997.00_283.02_0.00_997.00_193.68_0.00_284.17_0.00_473.96 18.988 8.089 2.347 0/0
592.59_0.00_997.00_863.30_158.68_997.00_0.00_530.07_221.66_997.00 18.488 7.967 2.320 0/0
997.00_164.28_429.39_997.00_265.37_0.00_0.00_825.19_997.00_965.26 18.299 7.548 2.424 0/0
997.00_874.58_304.72_0.00_665.98_997.00_0.00_484.45_997.00_77.85 17.555 8.739 2.009 0/0
997.00_787.28_203.79_997.00_241.58_0.00_0.00_272.55_0.00_224.44 18.092 7.738 2.338 0/0
997.00_391.58_0.00_406.75_103.70_997.00_570.45_0.00_997.00_122.58 18.121 7.905 2.292 0/0
119.46_997.00_997.00_875.49_0.00_773.04_821.23_0.00_21.33_0.00 18.238 8.892 2.051 0/0
378.00_997.00_695.99_0.00_997.00_567.15_0.00_221.63_997.00_186.37 18.597 8.505 2.187 0/0
0.00_159.44_828.64_0.00_997.00_44.39_651.31_997.00_848.00_997.00 21.112 11.596 1.821 0/0
997.00_592.93_0.00_41.35_628.70_0.00_748.65_997.00_841.42_997.00 19.939 10.367 1.923 0/0
